iter	Passed	Remaining
0	0	74
1	1	68
2	2	65
3	2	61
4	3	60
5	3	59
6	4	58
7	5	58
8	5	57
9	6	57
10	6	56
11	7	55
12	8	54
13	8	54
14	9	53
15	10	52
16	10	52
17	11	51
18	11	50
19	12	50
20	13	49
21	13	48
22	14	48
23	15	47
24	15	46
25	16	46
26	16	45
27	17	44
28	18	44
29	18	43
30	19	43
31	19	42
32	20	41
33	21	41
34	21	40
35	22	39
36	23	39
37	23	38
38	24	37
39	24	37
40	25	36
41	25	35
42	26	34
43	26	34
44	27	33
45	28	33
46	28	32
47	29	31
48	30	31
49	30	30
50	31	30
51	31	29
52	32	28
53	33	28
54	33	27
55	34	26
56	34	26
57	35	25
58	36	25
59	36	24
60	37	23
61	37	23
62	38	22
63	39	22
64	39	21
65	40	20
66	41	20
67	41	19
68	42	19
69	42	18
70	43	17
71	44	17
72	44	16
73	45	15
74	46	15
75	46	14
76	47	14
77	48	13
78	48	12
79	49	12
80	50	11
81	50	11
82	51	10
83	52	9
84	52	9
85	53	8
86	54	8
87	55	7
88	55	6
89	56	6
90	57	5
91	58	5
92	58	4
93	59	3
94	60	3
95	60	2
96	61	1
97	62	1
98	63	0
99	64	0
